Common Core of Data CD-ROM -- School Years 1996-1997 through 1999-2000
School Year 1998-99 Public School Universe data
Corrections to Agency Locale Codes
using Version 1c of the Public School Universe data files, dated June 2001

                                                          |     Locale Code     |
4030630 UNION CITY                                        |     7         8     |
4031140 VIAN                                              |     7         8     |
4031500 WANETTE                                           |     7         8     |
4031710 WASHINGTON                                        |     7         8     |
4031950 WAUKOMIS                                          |     7         8     |
4032010 WAYNE                                             |     7         8     |
4033330 WYNONA                                            |     7         8     |
4100015 GERVAIS SCH DIST 001                              |     7         8     |
4101920 BEAVERTON SCH DIST 48J                            |     3         2     |
4102160 BLACHLY SCH DIST 090                              |     7         4     |
4102580 BUTTE FALLS SCH DIST 091                          |     7         8     |
4102780 CASCADE SCH DIST 005                              |     7         8     |
4102970 CHENOWITH SCH DIST 009                            |     6         7     |
4103260 COLUMBIA SCH DIST 6J                              |     7         8     |
4103270 COLTON SCH DIST 053                               |     7         3     |
4103420 CORBETT SCH DIST 039                              |     7         3     |
4107740 MARCOLA SCH DIST 079J                             |     7         4     |
4107980 MCKENZIE SCH DIST 068                             |     7         4     |
4109530 PERRYDALE SCH DIST 21                             |     7         8     |
4110200 PROSPECT SCH DIST 059                             |     7         4     |
4110680 ROGUE RIVER SCH DIST 035                          |     7         8     |
4111450 SILVER FALLS SCH DIST 4J                          |     3         8     |
4111610 SOUTH UMPQUA SCH DIST 019                         |     6         7     |
4113350 WILLAMINA SCH DIST 30J                            |     7         8     |
4200022 CRESSON SECURE TREATMENT UNIT                     |     7         8     |
4202100 ALBERT GALLATIN AREA SD                           |     7         8     |
4202910 BALD EAGLE AREA SD                                |     6         8     |
4203300 BELLWOOD-ANTIS SD                                 |     7         8     |
4203390 BENTON AREA SD                                    |     7         8     |
4204080 BROWNSVILLE AREA SD                               |     3         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
4204740 CAMBRIA HEIGHTS SD                                |     7         8     |
4205460 CRESTWOOD SD                                      |     6         8     |
4206120 CLAYSBURG-KIMMEL SD                               |     6         8     |
4206420 CONEMAUGH TOWNSHIP AREA SD                        |     6         8     |
4206660 CONNELLSVILLE AREA SD                             |     3         8     |
4207540 DEER LAKES SD                                     |     7         8     |
4208490 EAST LYCOMING SD                                  |     7         8     |
4208820 EASTERN LANCASTER COUNTY SD                       |     4         8     |
4209600 KARNS CITY AREA SD                                |     7         8     |
4209932 LOYSVILLE YOUTH DEV CTR                           |     7         8     |
4209934 YOUTH FORESTRY CAMP #2                            |     7         8     |
4209940 FOREST HILLS SD                                   |     7         8     |
4210350 FRAZIER SD                                        |     7         8     |
4211340 HAMBURG AREA SD                                   |     4         8     |
4212300 JAMESTOWN AREA SD                                 |     7         8     |
4212990 LACKAWANNA TRAIL SD                               |     7         8     |
4213710 LIGONIER VALLEY SD                                |     7         8     |
4215450 MILLVILLE AREA SD                                 |     7         8     |
4216170 MOUNT PLEASANT AREA SD                            |     6         8     |
4216890 NEWPORT SD                                        |     7         8     |
4217310 NORTH POCONO SD                                   |     7         8     |
4217520 NORTHEASTERN YORK SD                              |     7         8     |
4217610 NORTHERN CAMBRIA SD                               |     7         4     |
4217640 NORTHERN LEBANON SD                               |     7         8     |
4217790 NORTHWEST AREA SD                                 |     7         8     |
4218810 PENNS VALLEY AREA SD                              |     7         8     |
4220760 SALISBURY-ELK LICK SD                             |     7         8     |
4221180 SHADE-CENTRAL CITY SD                             |     6         8     |
4221240 SHAMOKIN AREA SD                                  |     6         7     |
4221270 SHANKSVILLE-STONYCREEK SD                         |     7         8     |
4222170 SOUTH EASTERN SD                                  |     7         8     |
4222260 SOUTHERN COLUMBIA AREA SD                         |     7         8     |
4222380 SOUTHERN YORK COUNTY SD                           |     7         8     |
4222410 SOUTHMORELAND SD                                  |     6         8     |
4222530 SPRING COVE SD                                    |     4         8     |
4222590 SPRING GROVE AREA SD                              |     7         8     |
4223040 SUSQUENITA SD                                     |     6         8     |
4223820 TULPEHOCKEN AREA SD                               |     7         8     |
4223850 TUNKHANNOCK AREA SD                               |     6         8     |
4223880 TURKEYFOOT VALLEY AREA SD                         |     7         8     |
4224000 TWIN VALLEY SD                                    |     7         8     |
4224060 UNION AREA SD                                     |     6         7     |
4224540 UPPER PERKIOMEN SD                                |     3         8     |
4225740 WEST PERRY SD                                     |     7         8     |
4226430 WILLIAMSBURG COMMUNITY SD                         |     7         8     |
4280491 NORTHUMBERLAND CO AVTS                            |     6         7     |
4400150 CHARIHO REG DIST                                  |     6         8     |
4400600 LITTLE COMPTON SCH DIST                           |     6         8     |
4400630 MIDDLETOWN SCH DIST                               |     6         7     |
4500002 DORCHESTER SCHOOL DISTRICT 04                     |     7         8     |
4500010 R D ANDERSON APP TECH CTR                         |     7         4     |
4500840 ANDERSON SCHOOL DISTRICT 03                       |     7         8     |
4501110 BEAUFORT COUNTY SCHOOL DIST                       |     6         7     |
4502160 FLORENCE SCHOOL DISTRICT 02                       |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
4502760 LEXINGTON SCHOOL DISTRICT 03                      |     6         4     |
4503510 SPARTANBURG SCHOOL DISTRICT 02                    |     4         8     |
4503600 SPARTANBURG SCHOOL DISTRICT 05                    |     7         8     |
4503720 SUMTER SCHOOL DISTRICT 02                         |     7         8     |
4700090 ANDERSON COUNTY SCHOOL DISTRCT                    |     7         4     |
4701020 DICKSON COUNTY SCHOOL DISTRICT                    |     7         8     |
4701170 FAYETTE COUNTY SCHOOL DISTRICT                    |     7         8     |
4704080 TIPTON COUNTY SCHOOL DISTRICT                     |     7         8     |
4704290 UNION COUNTY SCHOOL DISTRICT                      |     7         8     |
4704380 WASHINGTON COUNTY SCHOOL DIST                     |     4         8     |
4704530 WILLIAMSON COUNTY SCHOOL DIST                     |     3         2     |
4800008 DRIPPING SPRINGS ISD                              |     7         8     |
4800009 WIMBERLEY ISD                                     |     7         8     |
4800010 HAYS CONS ISD                                     |     7         8     |
4800039 COASTAL BEND YOUTH CITY                           |     7         8     |
4807530 AGUA DULCE ISD                                    |     7         8     |
4808190 ANAHUAC ISD                                       |     7         8     |
4808910 AUBREY ISD                                        |     7         8     |
4809030 AVALON ISD                                        |     7         3     |
4809150 AXTELL ISD                                        |     7         4     |
4809410 BANQUETE ISD                                      |     7         3     |
4809450 BARBERS HILL ISD                                  |     7         8     |
4809540 BARTLETT ISD                                      |     7         8     |
4809780 BELLS ISD                                         |     7         8     |
4810140 BIG SANDY ISD                                     |     7         8     |
4810350 BLAND ISD                                         |     7         3     |
4810500 BLOOMINGTON ISD                                   |     7         8     |
4810590 BLUE RIDGE ISD                                    |     7         8     |
4810740 BOLES ISD                                         |     7         8     |
4811640 BROWNSBORO ISD                                    |     7         8     |
4811730 BRUCEVILLE-EDDY ISD                               |     7         8     |
4812060 BULLARD ISD                                       |     7         8     |
4812390 CADDO MILLS ISD                                   |     7         8     |
4812660 CAMPBELL ISD                                      |     7         8     |
4813260 CELESTE ISD                                       |     7         8     |
4814010 CHRISTOVAL ISD                                    |     7         4     |
4814580 COLLINSVILLE ISD                                  |     7         8     |
4814730 COMAL ISD                                         |     2         3     |
4814850 COMMUNITY ISD                                     |     7         8     |
4815420 COUPLAND ISD                                      |     7         3     |
4815510 CRANDALL ISD                                      |     7         8     |
4815600 CRAWFORD ISD                                      |     7         8     |
4815840 CROSS ROADS ISD                                   |     7         8     |
4816110 CYPRESS-FAIRBANKS ISD                             |     3         2     |
4816260 DAMON ISD                                         |     7         3     |
4816290 DANBURY ISD                                       |     7         8     |
4816920 DEVERS ISD                                        |     7         8     |
4817550 DRISCOLL ISD                                      |     7         8     |
4817880 EAST CHAMBERS ISD                                 |     7         8     |
4818480 ELYSIAN FIELDS ISD                                |     7         4     |
4818720 EUSTACE ISD                                       |     7         8     |
4818780 EVANT ISD                                         |     7         8     |
4819320 FLORENCE ISD                                      |     7         8     |
4821540 GRANDVIEW ISD                                     |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
4821590 GRANGER ISD                                       |     7         8     |
4821960 GUNTER ISD                                        |     7         8     |
4822170 HALLSVILLE ISD                                    |     7         8     |
4822380 HARDIN ISD                                        |     7         8     |
4822410 HARDIN-JEFFERSON ISD                              |     7         5     |
4822500 HARLETON ISD                                      |     7         4     |
4823160 HIGH ISLAND ISD                                   |     7         3     |
4823370 HOLLAND ISD                                       |     7         8     |
4823400 HOLLIDAY ISD                                      |     7         8     |
4823700 HUBBARD ISD                                       |     7         8     |
4823880 HULL-DAISETTA ISD                                 |     7         8     |
4824100 HUTTO ISD                                         |     7         8     |
4824120 IDALOU ISD                                        |     7         8     |
4824450 ITALY ISD                                         |     7         8     |
4824600 JARRELL ISD                                       |     7         3     |
4824750 JIM HOGG COUNTY ISD                               |     6         7     |
4824780 JIM NED CONS ISD                                  |     7         8     |
4824900 JONESBORO ISD                                     |     7         4     |
4825110 KARNACK ISD                                       |     7         4     |
4825320 KEMP ISD                                          |     7         8     |
4825380 KENDLETON ISD                                     |     7         8     |
4825740 KLEIN ISD                                         |     3         2     |
4825920 KOUNTZE ISD                                       |     7         8     |
4825980 KRUM ISD                                          |     7         8     |
4826310 LA VERNIA ISD                                     |     7         8     |
4826340 LA VILLA ISD                                      |     7         8     |
4827420 LIBERTY HILL ISD                                  |     7         3     |
4827510 LINDALE ISD                                       |     7         8     |
4828020 LONE OAK ISD                                      |     7         8     |
4828200 LORENA ISD                                        |     2         8     |
4828290 LOS FRESNOS CONS ISD                              |     7         8     |
4828780 MALAKOFF ISD                                      |     7         8     |
4828890 MANOR ISD                                         |     7         2     |
4829100 MARION ISD                                        |     7         8     |
4829460 MAUD ISD                                          |     7         8     |
4829580 MAYPEARL ISD                                      |     7         8     |
4829760 MCDADE ISD                                        |     7         3     |
4830090 MEGARGEL ISD                                      |     7         8     |
4830120 MELISSA ISD                                       |     7         8     |
4830340 MERKEL ISD                                        |     7         8     |
4830780 MILFORD ISD                                       |     7         8     |
4830870 MILLSAP ISD                                       |     7         8     |
4830990 MIRANDO CITY ISD                                  |     7         4     |
4831230 MONTE ALTO ISD                                    |     7         4     |
4831290 MOODY ISD                                         |     7         8     |
4832010 MURCHISON ISD                                     |     7         8     |
4832310 NEEDVILLE ISD                                     |     7         8     |
4832400 NEW CANEY ISD                                     |     7         3     |
4832460 NEW DIANA ISD                                     |     7         4     |
4833180 NORTHWEST ISD                                     |     7         8     |
4833360 ODEM-EDROY ISD                                    |     7         8     |
4833780 ORANGEFIELD ISD                                   |     7         4     |
4833840 ORE CITY ISD                                      |     7         8     |
4834500 PEASTER ISD                                       |     7         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
4835310 PONDER ISD                                        |     7         8     |
4835340 POOLVILLE ISD                                     |     7         3     |
4835370 PORT ARANSAS ISD                                  |     7         8     |
4835550 POTH ISD                                          |     7         8     |
4835570 BUSHLAND ISD                                      |     7         4     |
4835580 POTTSBORO ISD                                     |     7         8     |
4835700 PRAIRIE LEA ISD                                   |     7         3     |
4835910 PROGRESO ISD                                      |     7         4     |
4836240 QUINLAN ISD                                       |     7         8     |
4836450 RANDOLPH FIELD ISD                                |     7         3     |
4836750 REDWATER ISD                                      |     7         8     |
4837170 RIO HONDO ISD                                     |     7         8     |
4837710 ROGERS ISD                                        |     7         8     |
4838220 ROYSE CITY ISD                                    |     7         8     |
4838400 S AND S CONS ISD                                  |     7         8     |
4838490 SABINE PASS ISD                                   |     7         4     |
4838580 SALADO ISD                                        |     7         8     |
4839330 SANTA MARIA ISD                                   |     7         4     |
4839360 SANTA ROSA ISD                                    |     7         8     |
4839870 SHALLOWATER ISD                                   |     7         8     |
4840320 SIMMS ISD                                         |     7         4     |
4840740 SOMERSET ISD                                      |     8         2     |
4840890 SOUTHLAND ISD                                     |     7         8     |
4841610 STOCKDALE ISD                                     |     7         8     |
4842660 THRALL ISD                                        |     7         8     |
4842870 TIOGA ISD                                         |     7         8     |
4842900 TOLAR ISD                                         |     7         8     |
4842930 TOM BEAN ISD                                      |     7         8     |
4842990 TORNILLO ISD                                      |     7         3     |
4843890 VAN ALSTYNE ISD                                   |     7         8     |
4844010 VENUS ISD                                         |     7         8     |
4844410 WALL ISD                                          |     7         4     |
4844430 WALLER ISD                                        |     7         8     |
4844470 BRAZOS ISD                                        |     7         8     |
4844670 WASKOM ISD                                        |     7         8     |
4844710 WATER VALLEY ISD                                  |     7         4     |
4844810 WEBB CONS ISD                                     |     7         4     |
4845000 WEST HARDIN COUNTY CONS ISD                       |     7         4     |
4846080 WINDTHORST ISD                                    |     7         8     |
4900480 KANE SCHOOL DISTRICT                              |     7         4     |
4901080 UINTAH SCHOOL DISTRICT                            |     6         7     |
5002130 BENNINGTON ID SCHOOL DISTRICT                     |     6         7     |
5002490 BRATTLEBORO SCHOOL DISTRICT                       |     6         7     |
5003030 CHAMPLAIN VALLEY UHSD 15                          |     6         8     |
5003930 FAIRFAX SCHOOL DISTRICT                           |     7         8     |
5004140 GEORGIA SCHOOL DISTRICT                           |     6         8     |
5004290 GRAND ISLE SCHOOL DISTRICT                        |     7         8     |
5004590 HARTFORD SCHOOL DISTRICT                          |     6         7     |
5004680 HINESBURG SCHOOL DISTRICT                         |     6         8     |
5004980 JERICHO SCHOOL DISTRICT                           |     6         8     |
5005490 MIDDLEBURY ID SCHOOL DISTRICT                     |     6         7     |
5005620 MISSISQUOI VALLEY UHSD 7                          |     6         8     |
5005810 MOUNT ANTHONY UHSD 14                             |     6         7     |
5005840 MOUNT MANSFIELD USD 17                            |     6         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
5006840 RICHMOND SCHOOL DISTRICT                          |     6         8     |
5007530 SPRINGFIELD SCHOOL DISTRICT                       |     6         7     |
5007650 SAINT JOHNSBURY SCHOOL DIST                       |     6         7     |
5099911 SAINT JOHNSBURY SUPERVISORY DI                    |     6         7     |
5099912 CHITTENDEN EAST SUPV UNION                        |     6         8     |
5099914 CHITTENDEN SOUTH SUPV UNION                       |     6         8     |
5099921 FRANKLIN NORTHWEST SUPV UNION                     |     6         8     |
5099922 FRANKLIN WEST SUPV UNION                          |     7         8     |
5099939 RUTLAND WINDSOR SUPV UNION                        |     6         7     |
5099948 WINDHAM SOUTHEAST SUPV UNION                      |     6         7     |
5099954 HARTFORD SUPERVISORY DISTRICT                     |     6         7     |
5099956 SPRINGFIELD SUPERVISORY DISTRI                    |     6         7     |
5100015 MIDDLE PENIN REG SP ED PR                         |     7         3     |
5100026 NORTHERN VA REGIONAL SPEC EDUC PRGM               |     7         3     |
5100210 AMHERST                                           |     7         4     |
5100420 BOTETOURT                                         |     7         8     |
5100600 CAMPBELL                                          |     7         4     |
5101380 FLUVANNA                                          |     7         4     |
5101620 GLOUCESTER                                        |     7         3     |
5101710 GREENE                                            |     7         8     |
5102430 MATHEWS                                           |     7         3     |
5102610 NEW KENT                                          |     7         4     |
5102940 PITTSYLVANIA                                      |     7         8     |
5103480 SCOTT                                             |     7         4     |
5300870 CARBONADO                                         |     7         8     |
5301980 DARRINGTON                                        |     7         8     |
5302070 DEER PARK                                         |     7         8     |
5302310 EASTMONT                                          |     6         7     |
5303180 GRANGER                                           |     7         8     |
5303210 GRANITE FALLS                                     |     7         8     |
5303780 KAHLOTUS                                          |     7         8     |
5304260 LAKEWOOD                                          |     7         3     |
5304560 RIVERVIEW                                         |     3         8     |
5304650 MABTON                                            |     7         8     |
5305640 NINE MILE FALLS                                   |     7         4     |
5305670 NOOKSACK VALLEY                                   |     7         8     |
5305730 NORTH FRANKLIN                                    |     7         8     |
5306600 PATEROS                                           |     6         7     |
5306630 PATERSON                                          |     7         4     |
5307110 RAINIER                                           |     7         8     |
5307350 RIDGEFIELD                                        |     7         8     |
5308550 SULTAN                                            |     7         8     |
5308820 TENINO                                            |     7         8     |
5310140 YELM                                              |     7         8     |
5400511 INSTITUTIONAL PROGRAMS                            |     7         6     |
5401500 WAYNE COUNTY SCHOOL DISTRICT                      |     7         4     |
5500720 BALDWIN-WOODVILLE AREA                            |     7         8     |
5500780 BANGOR                                            |     7         8     |
5500990 BELLEVILLE                                        |     7         8     |
5502880 CORNELL                                           |     7         8     |
5503510 KETTLE MORAINE                                    |     7         8     |
5504260 ELKHART LAKE-GLENBEULAH                           |     7         8     |
5504920 FREEDOM AREA                                      |     6         8     |
5505520 GLENWOOD CITY                                     |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
5506060 SAINT CROIX CENTRAL                               |     7         8     |
5507680 LAKE HOLCOMBE                                     |     7         8     |
5508670 MARATHON CITY                                     |     7         8     |
5509300 NORTH LAKE                                        |     6         3     |
5509360 MERTON COMMUNITY                                  |     7         8     |
5510440 NEW AUBURN                                        |     7         8     |
5512330 PULASKI COMMUNITY                                 |     7         8     |
5512450 RANDOM LAKE                                       |     7         8     |
5512880 FRIESS LAKE                                       |     6         8     |
5513380 WILMOT GRADE                                      |     7         8     |
5513860 SILVER LAKE J1                                    |     7         8     |
5514190 SPENCER                                           |     7         8     |
5514340 SPRING VALLEY                                     |     7         8     |
5514520 STOCKBRIDGE                                       |     7         8     |
5516770 WILMOT UHS                                        |     7         8     |
5516830 WINNECONNE COMMUNITY                              |     7         8     |
5604120 LARAMIE CO SCHOOL DIST 02                         |     7         8     |
5900011 MINNEAPOLIS AREA OFFICE                           |     6         7     |
5900015 PIMA AGENCY                                       |     7         3     |
5900019 SACRAMENTO AREA OFFICE                            |     7         3     |
